method,feature_group,feature,present,encoded_feature
PCA,explicit_objective_terms,diffusion_distance,0,explicit_objective_terms:diffusion_distance
GLM-PCA,explicit_objective_terms,diffusion_distance,0,explicit_objective_terms:diffusion_distance
scScope,explicit_objective_terms,diffusion_distance,0,explicit_objective_terms:diffusion_distance
SAUCIE,explicit_objective_terms,diffusion_distance,0,explicit_objective_terms:diffusion_distance
UMAP,explicit_objective_terms,diffusion_distance,0,explicit_objective_terms:diffusion_distance
PHATE,explicit_objective_terms,diffusion_distance,1,explicit_objective_terms:diffusion_distance
t-SNE,explicit_objective_terms,diffusion_distance,0,explicit_objective_terms:diffusion_distance
PaCMAP,explicit_objective_terms,diffusion_distance,0,explicit_objective_terms:diffusion_distance
PCA,explicit_objective_terms,likelihood,0,explicit_objective_terms:likelihood
GLM-PCA,explicit_objective_terms,likelihood,1,explicit_objective_terms:likelihood
scScope,explicit_objective_terms,likelihood,0,explicit_objective_terms:likelihood
SAUCIE,explicit_objective_terms,likelihood,0,explicit_objective_terms:likelihood
UMAP,explicit_objective_terms,likelihood,0,explicit_objective_terms:likelihood
PHATE,explicit_objective_terms,likelihood,0,explicit_objective_terms:likelihood
t-SNE,explicit_objective_terms,likelihood,0,explicit_objective_terms:likelihood
PaCMAP,explicit_objective_terms,likelihood,0,explicit_objective_terms:likelihood
PCA,explicit_objective_terms,metric_stress,0,explicit_objective_terms:metric_stress
GLM-PCA,explicit_objective_terms,metric_stress,0,explicit_objective_terms:metric_stress
scScope,explicit_objective_terms,metric_stress,0,explicit_objective_terms:metric_stress
SAUCIE,explicit_objective_terms,metric_stress,0,explicit_objective_terms:metric_stress
UMAP,explicit_objective_terms,metric_stress,0,explicit_objective_terms:metric_stress
PHATE,explicit_objective_terms,metric_stress,1,explicit_objective_terms:metric_stress
t-SNE,explicit_objective_terms,metric_stress,0,explicit_objective_terms:metric_stress
PaCMAP,explicit_objective_terms,metric_stress,0,explicit_objective_terms:metric_stress
PCA,explicit_objective_terms,pairwise_attraction_repulsion,0,explicit_objective_terms:pairwise_attraction_repulsion
GLM-PCA,explicit_objective_terms,pairwise_attraction_repulsion,0,explicit_objective_terms:pairwise_attraction_repulsion
scScope,explicit_objective_terms,pairwise_attraction_repulsion,0,explicit_objective_terms:pairwise_attraction_repulsion
SAUCIE,explicit_objective_terms,pairwise_attraction_repulsion,0,explicit_objective_terms:pairwise_attraction_repulsion
UMAP,explicit_objective_terms,pairwise_attraction_repulsion,0,explicit_objective_terms:pairwise_attraction_repulsion
PHATE,explicit_objective_terms,pairwise_attraction_repulsion,0,explicit_objective_terms:pairwise_attraction_repulsion
t-SNE,explicit_objective_terms,pairwise_attraction_repulsion,0,explicit_objective_terms:pairwise_attraction_repulsion
PaCMAP,explicit_objective_terms,pairwise_attraction_repulsion,1,explicit_objective_terms:pairwise_attraction_repulsion
PCA,explicit_objective_terms,pairwise_probability,0,explicit_objective_terms:pairwise_probability
GLM-PCA,explicit_objective_terms,pairwise_probability,0,explicit_objective_terms:pairwise_probability
scScope,explicit_objective_terms,pairwise_probability,1,explicit_objective_terms:pairwise_probability
SAUCIE,explicit_objective_terms,pairwise_probability,0,explicit_objective_terms:pairwise_probability
UMAP,explicit_objective_terms,pairwise_probability,1,explicit_objective_terms:pairwise_probability
PHATE,explicit_objective_terms,pairwise_probability,0,explicit_objective_terms:pairwise_probability
t-SNE,explicit_objective_terms,pairwise_probability,1,explicit_objective_terms:pairwise_probability
PaCMAP,explicit_objective_terms,pairwise_probability,0,explicit_objective_terms:pairwise_probability
PCA,explicit_objective_terms,reconstruction,1,explicit_objective_terms:reconstruction
GLM-PCA,explicit_objective_terms,reconstruction,0,explicit_objective_terms:reconstruction
scScope,explicit_objective_terms,reconstruction,1,explicit_objective_terms:reconstruction
SAUCIE,explicit_objective_terms,reconstruction,1,explicit_objective_terms:reconstruction
UMAP,explicit_objective_terms,reconstruction,0,explicit_objective_terms:reconstruction
PHATE,explicit_objective_terms,reconstruction,0,explicit_objective_terms:reconstruction
t-SNE,explicit_objective_terms,reconstruction,0,explicit_objective_terms:reconstruction
PaCMAP,explicit_objective_terms,reconstruction,0,explicit_objective_terms:reconstruction
PCA,explicit_objective_terms,zero_model_or_imputation,0,explicit_objective_terms:zero_model_or_imputation
GLM-PCA,explicit_objective_terms,zero_model_or_imputation,0,explicit_objective_terms:zero_model_or_imputation
scScope,explicit_objective_terms,zero_model_or_imputation,1,explicit_objective_terms:zero_model_or_imputation
SAUCIE,explicit_objective_terms,zero_model_or_imputation,0,explicit_objective_terms:zero_model_or_imputation
UMAP,explicit_objective_terms,zero_model_or_imputation,0,explicit_objective_terms:zero_model_or_imputation
PHATE,explicit_objective_terms,zero_model_or_imputation,0,explicit_objective_terms:zero_model_or_imputation
t-SNE,explicit_objective_terms,zero_model_or_imputation,0,explicit_objective_terms:zero_model_or_imputation
PaCMAP,explicit_objective_terms,zero_model_or_imputation,0,explicit_objective_terms:zero_model_or_imputation
PCA,latent_parameterization,diffusion_then_metric_embedding,0,latent_parameterization:diffusion_then_metric_embedding
GLM-PCA,latent_parameterization,diffusion_then_metric_embedding,0,latent_parameterization:diffusion_then_metric_embedding
scScope,latent_parameterization,diffusion_then_metric_embedding,0,latent_parameterization:diffusion_then_metric_embedding
SAUCIE,latent_parameterization,diffusion_then_metric_embedding,0,latent_parameterization:diffusion_then_metric_embedding
UMAP,latent_parameterization,diffusion_then_metric_embedding,0,latent_parameterization:diffusion_then_metric_embedding
PHATE,latent_parameterization,diffusion_then_metric_embedding,1,latent_parameterization:diffusion_then_metric_embedding
t-SNE,latent_parameterization,diffusion_then_metric_embedding,0,latent_parameterization:diffusion_then_metric_embedding
PaCMAP,latent_parameterization,diffusion_then_metric_embedding,0,latent_parameterization:diffusion_then_metric_embedding
PCA,latent_parameterization,directly_optimized_coordinates,0,latent_parameterization:directly_optimized_coordinates
GLM-PCA,latent_parameterization,directly_optimized_coordinates,0,latent_parameterization:directly_optimized_coordinates
scScope,latent_parameterization,directly_optimized_coordinates,1,latent_parameterization:directly_optimized_coordinates
SAUCIE,latent_parameterization,directly_optimized_coordinates,0,latent_parameterization:directly_optimized_coordinates
UMAP,latent_parameterization,directly_optimized_coordinates,1,latent_parameterization:directly_optimized_coordinates
PHATE,latent_parameterization,directly_optimized_coordinates,0,latent_parameterization:directly_optimized_coordinates
t-SNE,latent_parameterization,directly_optimized_coordinates,1,latent_parameterization:directly_optimized_coordinates
PaCMAP,latent_parameterization,directly_optimized_coordinates,1,latent_parameterization:directly_optimized_coordinates
PCA,latent_parameterization,linear_generalized_factor,0,latent_parameterization:linear_generalized_factor
GLM-PCA,latent_parameterization,linear_generalized_factor,1,latent_parameterization:linear_generalized_factor
scScope,latent_parameterization,linear_generalized_factor,0,latent_parameterization:linear_generalized_factor
SAUCIE,latent_parameterization,linear_generalized_factor,0,latent_parameterization:linear_generalized_factor
UMAP,latent_parameterization,linear_generalized_factor,0,latent_parameterization:linear_generalized_factor
PHATE,latent_parameterization,linear_generalized_factor,0,latent_parameterization:linear_generalized_factor
t-SNE,latent_parameterization,linear_generalized_factor,0,latent_parameterization:linear_generalized_factor
PaCMAP,latent_parameterization,linear_generalized_factor,0,latent_parameterization:linear_generalized_factor
PCA,latent_parameterization,linear_orthogonal_factor,1,latent_parameterization:linear_orthogonal_factor
GLM-PCA,latent_parameterization,linear_orthogonal_factor,0,latent_parameterization:linear_orthogonal_factor
scScope,latent_parameterization,linear_orthogonal_factor,0,latent_parameterization:linear_orthogonal_factor
SAUCIE,latent_parameterization,linear_orthogonal_factor,0,latent_parameterization:linear_orthogonal_factor
UMAP,latent_parameterization,linear_orthogonal_factor,0,latent_parameterization:linear_orthogonal_factor
PHATE,latent_parameterization,linear_orthogonal_factor,0,latent_parameterization:linear_orthogonal_factor
t-SNE,latent_parameterization,linear_orthogonal_factor,0,latent_parameterization:linear_orthogonal_factor
PaCMAP,latent_parameterization,linear_orthogonal_factor,0,latent_parameterization:linear_orthogonal_factor
PCA,latent_parameterization,neural_encoder_decoder,0,latent_parameterization:neural_encoder_decoder
GLM-PCA,latent_parameterization,neural_encoder_decoder,0,latent_parameterization:neural_encoder_decoder
scScope,latent_parameterization,neural_encoder_decoder,0,latent_parameterization:neural_encoder_decoder
SAUCIE,latent_parameterization,neural_encoder_decoder,1,latent_parameterization:neural_encoder_decoder
UMAP,latent_parameterization,neural_encoder_decoder,0,latent_parameterization:neural_encoder_decoder
PHATE,latent_parameterization,neural_encoder_decoder,0,latent_parameterization:neural_encoder_decoder
t-SNE,latent_parameterization,neural_encoder_decoder,0,latent_parameterization:neural_encoder_decoder
PaCMAP,latent_parameterization,neural_encoder_decoder,0,latent_parameterization:neural_encoder_decoder
PCA,latent_parameterization,recurrent_neural_encoder_decoder,0,latent_parameterization:recurrent_neural_encoder_decoder
GLM-PCA,latent_parameterization,recurrent_neural_encoder_decoder,0,latent_parameterization:recurrent_neural_encoder_decoder
scScope,latent_parameterization,recurrent_neural_encoder_decoder,1,latent_parameterization:recurrent_neural_encoder_decoder
SAUCIE,latent_parameterization,recurrent_neural_encoder_decoder,0,latent_parameterization:recurrent_neural_encoder_decoder
UMAP,latent_parameterization,recurrent_neural_encoder_decoder,0,latent_parameterization:recurrent_neural_encoder_decoder
PHATE,latent_parameterization,recurrent_neural_encoder_decoder,0,latent_parameterization:recurrent_neural_encoder_decoder
t-SNE,latent_parameterization,recurrent_neural_encoder_decoder,0,latent_parameterization:recurrent_neural_encoder_decoder
PaCMAP,latent_parameterization,recurrent_neural_encoder_decoder,0,latent_parameterization:recurrent_neural_encoder_decoder
PCA,observation_model,exponential_family_count,0,observation_model:exponential_family_count
GLM-PCA,observation_model,exponential_family_count,1,observation_model:exponential_family_count
scScope,observation_model,exponential_family_count,0,observation_model:exponential_family_count
SAUCIE,observation_model,exponential_family_count,0,observation_model:exponential_family_count
UMAP,observation_model,exponential_family_count,0,observation_model:exponential_family_count
PHATE,observation_model,exponential_family_count,0,observation_model:exponential_family_count
t-SNE,observation_model,exponential_family_count,0,observation_model:exponential_family_count
PaCMAP,observation_model,exponential_family_count,0,observation_model:exponential_family_count
PCA,observation_model,least_squares,1,observation_model:least_squares
GLM-PCA,observation_model,least_squares,0,observation_model:least_squares
scScope,observation_model,least_squares,0,observation_model:least_squares
SAUCIE,observation_model,least_squares,0,observation_model:least_squares
UMAP,observation_model,least_squares,0,observation_model:least_squares
PHATE,observation_model,least_squares,0,observation_model:least_squares
t-SNE,observation_model,least_squares,0,observation_model:least_squares
PaCMAP,observation_model,least_squares,0,observation_model:least_squares
PCA,observation_model,least_squares_autoencoder,0,observation_model:least_squares_autoencoder
GLM-PCA,observation_model,least_squares_autoencoder,0,observation_model:least_squares_autoencoder
scScope,observation_model,least_squares_autoencoder,1,observation_model:least_squares_autoencoder
SAUCIE,observation_model,least_squares_autoencoder,1,observation_model:least_squares_autoencoder
UMAP,observation_model,least_squares_autoencoder,0,observation_model:least_squares_autoencoder
PHATE,observation_model,least_squares_autoencoder,0,observation_model:least_squares_autoencoder
t-SNE,observation_model,least_squares_autoencoder,0,observation_model:least_squares_autoencoder
PaCMAP,observation_model,least_squares_autoencoder,0,observation_model:least_squares_autoencoder
PCA,observation_model,not_explicit,0,observation_model:not_explicit
GLM-PCA,observation_model,not_explicit,0,observation_model:not_explicit
scScope,observation_model,not_explicit,0,observation_model:not_explicit
SAUCIE,observation_model,not_explicit,0,observation_model:not_explicit
UMAP,observation_model,not_explicit,1,observation_model:not_explicit
PHATE,observation_model,not_explicit,1,observation_model:not_explicit
t-SNE,observation_model,not_explicit,1,observation_model:not_explicit
PaCMAP,observation_model,not_explicit,1,observation_model:not_explicit
